text,toxic,sarcastic
I just finished watching a really good documentary about the history of chocolate.,0,0
I just saw a cute dog on my walk to work. It made my day.,0,0
I just saw a really inspiring TED Talk,0,0
I love listening to classical music when I'm studying. It helps me concentrate.,0,0
My favorite place to relax is by the beach. There's something so calming about the sound of waves crashing against the shore.,0,0
I'm really into hiking lately. There's nothing like the feeling of reaching the summit of a mountain.,0,0
I can't believe how much traffic there is today. I've been stuck in the same spot for half an hour.,0,0
I'm feeling really optimistic about the future. I think good things are on the horizon.,0,0
I'm craving pizza right now. I might have to order some for dinner tonight.,0,0
I just started learning how to play the guitar. It's challenging but also really rewarding.,0,0
I just saw a cute dog on my walk to work. It made my day.,0,0
I'm feeling a little stressed out lately. I need to find a way to relax and unwind.,0,0
I can't believe how much technology has advanced in the last decade. It's amazing.,0,0
I'm really impressed with how quickly my new plant is growing. It's amazing to see the progress every day.,0,0
I just got a new haircut and I'm really happy with how it turned out. Sometimes a small change can make a big difference.,0,0
I just watched a beautiful sunset and it reminded me of the simple pleasures in life.,0,0
It was a good cricket match.,0,0
I am trying to learn new language.,0,0
I just finished organizing my closet and it feels so satisfying to have everything in its place.,0,0
It was a long and tiring day for me. I need a good shower.,0,0
You can buy it on amazon.,0,0
The class is pretty boring. I feel like my time is getting wasted.,0,0
"I just finished a really challenging workout. It was tough, but I feel proud of myself for pushing through.",0,0
Imran Khan was a great cricketer. We lead pakistan from the front in 1992 winning the cricket world cup,0,0
Shakib Al Hasan in the greatest cricket Allrounder of all time.,0,0
I apolozies for the bad jokes,0,0
Software development is a very difficult job,0,0
Yo look like someone I know.,0,0
The little ceaser's pizza was pretty great,0,0
The weather is gloomy today. I dont want to go to work.,0,0
What a lovely voice you have!,0,0
"My family lives in Bosnia, I visit them once a year.",0,0
I am really hungry today. I would love to eat chicken fry.,0,0
This apartment is too expensive and I can not afford it,0,0
I would like to take you out for a dinner.,0,0
I just baked a batch of cookies and they turned out delicious. Baking always brings me joy.,0,0
I'm really impressed with how quickly my new plant is growing. It's amazing to see the progress every day.,0,0
I am upset because my favourite football team lost today,0,0
I was really amazed by the scenic view of bogus basin,0,0
I just watched a beautiful movie today and it reminded me of the simple pleasures in life.,0,0
I am looking for an apartment my daughter. She is 22 and just graduated ISU. She does have a cat. She would love to get in touch,0,0
"I can't stop laughing at this meme of a cat wearing a cowboy hat. It's so ridiculous, but it just makes me so happy",0,0
Bangladesh's batting line up is aweful,0,0
Rinku singh played a fabuluous innings today,0,0
Shakib should have played this years IPL,0,0
awesome  then i ll simply disregard your notice  thanks ,0,0
a cookie for you  a cookie for you ,0,0
Kardashian sisters are hot,0,0
When the commentators said he was in his third year of the league,0,0
"Problem with the lakers, a game without ja morant, clarke and adams, they should win these type of games",0,0
It’s okay if you don’t like me. Not everyone has good taste.,0,1
"People say nothing is impossible, but I do nothing every day.",0,1
I'm so glad it's Monday. I was getting tired of having a relaxing weekend.,0,1
"Oh, fantastic. I forgot my wallet again.",0,1
It's so great to have a boss who micromanages every little detail.,0,1
I'm really looking forward to doing the dishes tonight.,0,1
I really enjoy doing my taxes. It's so easy and stress-free.,0,1
It's always so much fun to go to the dentist.,0,1
I just love how you always change your mind at the last minute.,0,1
Thank you for reminding me of something I was trying to forget.,0,1
I love how you always make things more complicated than they need to be.,0,1
Thanks for making me wait in line for an hour. I love standing on my feet for that long.,0,1
It's so great to have a boss who never listens to my ideas.,0,1
I'm really looking forward to doing the same task for the tenth time today.,0,1
"Oh, great. Another deadline that's impossible to meet.",0,1
I'm really looking forward to cleaning the bathroom. It's my favorite chore.,0,1
I'm really looking forward to working with someone who never responds to emails or calls.,0,1
Thank you for scheduling a meeting during my vacation time. I really appreciate it.,0,1
I wanna be 14 again and ruin my life differently. I have new ideas.,0,1
Life is hard; it’s harder if you’re stupid,0,1
Stop complaining about your life. There are people out there dating your ex.,0,1
Having children gives your life purpose. Right now my purpose is to get some sleep,0,1
Not everyone wants money. Some people wants love. But I want money.,0,1
"You talk to God, you’re religious; God talks to you, you’re psychotic",0,1
"The best things in life will either make you fat, drunk, or pregnant.",0,1
My neighbor’s diary says that I have boundary issues.,0,1
Marriage. Because your crappy day doesn't have to end at work.,0,1
"No, you don’t have to repeat yourself. I was ignoring you the first time.",0,1
Marriage. Because your crappy day doesn't have to end at work.,0,1
You're everything I want in someone I don't want anymore.,0,1
Shut your mouth when you’re talking to me.,0,1
"Just burned 2,000 calories. That's the last time I leave brownies in the oven while I nap.",0,1
Autocorrect still thinks I want to say 'duck' 12 times a day.,0,1
When a man steals your wife there is no better revenge than to let him keep her.,0,1
"Everybody knows how to raise children, except the people who have them.",0,1
I don't understand why peple have to get ready for bed. I am always ready for bed,0,1
You dont realize that violance is not the solution for peace unless mosquito sits on your balls ,0,1
Having children makes you no more a parent than having a piano makes you a pianist,0,1
"Sarcasm, because beating the crap out of people is illegal.",0,1
"If at first, you don’t succeed, skydiving is not for you.",0,1
immigrants cannot be trusted,1,0
Women shouldn't talk back,1,0
Real men don't cry,1,0
I hate black people,1,0
Mexicans should be kicked out of this country,1,0
Gay men are so catty,1,0
Do you guys eat dogs in china?,1,0
Women who wears short dress are whores,1,0
Women should be kept on a tight leash,1,0
Pakistani people are inbred bastards,1,0
People of Alabama are born through incest,1,0
Niggas leave their girlfriends after making them pregnant,1,0
People of Boise are just white trash,1,0
fuck you faggot pussy ,1,0
Thank god I don't look like ugly as mexicans,1,0
USA is full. Go back to your home indian pigs.,1,0
Go back to Arab you stupid talibans,1,0
Most of the muslims are terrorists,1,0
Make black people slaves again,1,0
Asians are idiots,1,0
Shut up your nazi ass,1,0
I don't trust gay people,1,0
Most of the mexicans are criminals,1,0
Gays should not be allowed to get married,1,0
All Jews are greedy,1,0
Japanese people are awefully boring,1,0
All black women are whores,1,0
Pakistani women are illeterate idiots.,1,0
Black girls are prostitues,1,0
Go back to the shit hole you came from ,1,0
I hate low caste hindus,1,0
Hindus are idiots. They worship cows.,1,0
Dalits are nothing but dirt,1,0
Muslims are stupid,1,0
Chinese people are hediously poor,1,0
Black people should not be given bank loan,1,0
"You are a pussy, just like the rest of your race",1,0
Stop taking benefits from our country you filthy dirtbag,1,0
I hate black people living in white community,1,0
I do not accept black tenants in my building,1,0
I feel unsafe around black men. I hate them,1,0
"Get out you dirty little shit,",1,0
Gays are the reason behind HIV,1,0
Chinese people spread covid virus,1,0
I hate homosexuals.,1,0
Get straight you homo,1,0
Your mother is a filthy bitch,1,0
Shut up or I will come and rape you,1,0
Indians are stupid trash and they smell a lot.,1,0
Are your family members are terrorists like the talibans as well?,1,0
I'd like to help you out. Which way did you come in?,1,1
I may love to shop but I'll never buy your bull,1,1
"You are black, you are like nigga to the black people.",1,1
You’re the reason God created the middle finger.,1,1
Chinese people are the human version of period cramps.,1,1
"You look so pretty. Not at all gross, today.",1,1
"Black people should get a straw, because they suck.",1,1
Too much muslims everywhere is the reason the gene pool needs a lifeguard.,1,1
"God makes everyone beautiful, but who the hell made you?",1,1
Don’t be ashamed of being black. That’s your parent’s job.,1,1
Black people are proof that evolution can go in reverse.,1,1
Were you born this stupid in china or did you take lessons?,1,1
"The last time I saw a face like yours, I fed it a banana in thailand.",1,1
"Brains aren’t everything. In Black people's case, they’re nothing.",1,1
"Two wrongs don’t make a right. Take your indian parents, for instance.",1,1
Don’t feel bad. A lot of chinese people have no talent.,1,1
Arabs are living proof it’s possible to live without a brain.,1,1
Black people have so many gaps in their teeth it looks like their tongue is in jail.,1,1
You have an entire life to be an idiot. Why not take today off?,1,1
I thought of you today. It reminded me to take out the trash.,1,1
I’d rather treat my baby’s diaper rash than have lunch with you.,1,1
You are doing great! A good candidate to be a B+ player.,1,1
Difference between muslims and pests is that there is pest control to limit the polulation,1,1
You are the reason why shampoo has instructions.,1,1
Women should really come with a warning label because they bark a lot,1,1
Why is Darth Vader so famous? He was the first black man to admit he is the father. ,1,1
why does the bad guys always have to be white? Because if he was black that would be racist.,1,1
If only black people lived in a country it would be called Mother-Land because the dad is always missing,1,1
What would you call a gay man? A pain in the ass.,1,1
"If woke culture existed during WW2, they would have said ""Nazis have feelings tool""",1,1